스마트쉼터 현황,,,,,
,,,,,
시도,시군구,시설명,설치장소,상세주소,설치년도
서울,용산구,용산형 스마트쉼터,용산역광장앞,용산역광장앞(03-258),2023
서울,용산구,용산형 스마트쉼터,이촌동한가람아파트. 이촌역,이촌동한가람아파트. 이촌역(03-217),2023
서울,용산구,용산형 스마트쉼터,한강진역. 블루스퀘어,한강진역. 블루스퀘어(03-180),2023
서울,용산구,용산형 스마트쉼터,효창공원앞역. 이봉창역사울림관,효창공원앞역. 이봉창역사울림관(03-180),2023
서울,용산구,용산형 스마트쉼터,순천향대학병원. 한남오거리,순천향대학병원. 한남오거리(03-165),2023
서울,은평구,스마트쉼터,불광초(불광역) 버스정류장,불광로 41,2022
서울,은평구,스마트쉼터,역촌중앙시장(구산역) 버스정류장,서오릉로 165,2022
서울,은평구,스마트쉼터,수국사입구 버스정류장,서오릉로 253,2022
서울,은평구,스마트쉼터,로데오거리(연신내역) 버스정류장,연서로 214,2022
서울,은평구,스마트쉼터,역촌오거리(역촌역) 버스정류장,서오릉로 74,2022
서울,은평구,스마트쉼터,은평세무서 버스정류장,은평로 170,2022
서울,은평구,스마트쉼터,서부병원 버스정류장,은평로 142,2022
서울,은평구,스마트쉼터,신사오거리(응암역) 버스정류장,은평로 63,2022
서울,은평구,스마트쉼터,증산역 버스정류장,증산로 297,2022
서울,은평구,스마트쉼터,구산역 4번출구(구산역) 버스정류장,연서로 149,2023
서울,은평구,스마트쉼터,응암2동주민센터 버스정류장,백련산로 112,2023
서울,강남구,그린스마트쉼터,한양아파트.압구정로데오역(23158)버스정류장,강남구 압구정로 343,2019
서울,강남구,그린스마트쉼터,강남구청.강남세무서(23176)버스정류장,강남구 학동로 425,2019
서울,강남구,그린스마트쉼터,한국무역센터.삼성역(23201)버스정류장,강남구 테헤란로 521,2020
서울,강남구,그린스마트쉼터,포스코사거리(23514)버스정류장,강남구 테헤란로 507,2020
서울,강남구,그린스마트쉼터,선릉역(23241)버스정류장,강남구 테헤란로 409,2020
서울,강남구,그린스마트쉼터,서울상록회관.한국기술센터(23277)버스정류장,강남구 테헤란로 305,2020
서울,강남구,그린스마트쉼터,아가방빌딩.하나은행(23280)버스정류장,강남구 테헤란로 207,2020
서울,강남구,그린스마트쉼터,역삼역.포스코타워역삼(23288)버스정류장,강남구 테헤란로 134,2020
서울,강남구,그린스마트쉼터,한국자산신탁.센터필드(23306)버스정류장,강남구 테헤란로 306,2020
서울,강남구,그린스마트쉼터,선릉역(23259)버스정류장,강남구 테헤란로 408,2020
서울,강남구,그린스마트쉼터,포스코건너편(23217)버스정류장,강남구 테헤란로 439,2020
서울,강남구,그린스마트쉼터,한국무역센터.삼성역(23251)버스정류장,강남구 테헤란로 528,2020
서울,강남구,그린스마트쉼터,신사역8번출구.가로수길(23108)버스정류장,강남구 도산대로 125,2022
서울,강남구,그린스마트쉼터,신사동고개(23107)버스정류장,강남구 도산대로 157,2022
서울,강남구,그린스마트쉼터,신사동교회(23151)버스정류장,강남구 도산대로 217,2022
서울,강남구,그린스마트쉼터,도산공원사거리(23155)버스정류장,강남구 도산대로 305,2022
서울,강남구,그린스마트쉼터,씨네시티.앞(23161)버스정류장,강남구 도산대로 327,2022
서울,강남구,그린스마트쉼터,농협앞(23180)버스정류장,강남구 도산대로 443,2022
서울,강남구,그린스마트쉼터,청담동주민센터(23166)버스정류장,강남구 도산대로 513,2022
서울,강남구,그린스마트쉼터,청담동주민센터(23167)버스정류장,강남구 도산대로 528,2022
서울,강남구,그린스마트쉼터,차병원차움(23185)버스정류장,강남구 도산대로 442,2022
서울,강남구,그린스마트쉼터,영동119.안전센터(23126)버스정류장,강남구 도산대로 330,2022
서울,강남구,그린스마트쉼터,제일은행.호림아트센터앞(23125)버스정류장,강남구 도산대로 306,2022
서울,강남구,그린스마트쉼터,언북중학교입구(23124)버스정류장,강남구 도산대로 218,2022
서울,강남구,그린스마트쉼터,신사동고개(23112)버스정류장,강남구 도산대로 160,2022
서울,강남구,그린스마트쉼터,신사역1번출구(23111)버스정류장,강남구 도산대로 120,2022
서울,강남구,그린스마트쉼터,영동시장(23117)버스정류장,강남구 학동로 108,2022
서울,강남구,그린스마트쉼터,논현동사거리.학동역(23115)버스정류장,강남구 학동로 171,2022
서울,강남구,그린스마트쉼터,세관앞(23134)버스정류장,강남구 학동로 308,2022
서울,강남구,그린스마트쉼터,강남구청역(23128)버스정류장,강남구 학동로 337,2022
서울,강남구,그린스마트쉼터,강남구청역(23135)버스정류장,강남구 학동로 336,2022
서울,강남구,그린스마트쉼터,강남구청.강남세무서(23206)버스정류장,강남구 학동로 426,2022
서울,중랑구,스마트쉼터,07-171 면목역 버스정류장, 중랑구 면목로 418,2022
서울,중랑구,스마트쉼터,07-167 상봉역 버스정류장, 중랑구 면목로 475,2024
